username,commits,additions,deletions,changes,number of repos
nutjob4life,22,5600,79,5679,4
mastrolinux,1,2,1,3,1
zemm,1,1,1,2,1
olimpiurob,1,7,3,10,1
davidblewett,62,911,712,1623,5
ameurant,1,1,1,2,1
vkarppinen,2,22,14,36,1
montypie,2,2,1,3,1
maikroeder,4,44,8,52,3
jakke,3,9,1,10,1
bitranch,5,663,20,683,1
mcdonc,5,308,145,453,1
xiru,36,1512,880,2392,2
veit,1,5,0,5,1
rosehosting,1,6,0,6,1
vikas-parashar,4,7,3,10,4
nightmarebadger,3,107,30,137,2
kamon,1,3,3,6,1
faassen,1,1,1,2,1
jeorgen,1,1,0,1,1
Fosten,1,3,2,5,1
espenmn,6,103,5,108,3
markvl,2,3,3,6,1
senny,3,5,3,8,1
gnafou,1,1,1,2,1
moorepants,1,1,1,2,1
huguei,1,82,0,82,1
pauloxnet,2,133,109,242,2
nilshofer,3,193072,173547,366619,2
mmulich,22,632,64,696,2
patrickmonteiro,7,430,185,615,1
boulch,1,52,5,57,1
derrickstone,12,558,68,626,1
ctxlken,7,907,13,920,1
ladplone,3,460,432,892,2
prakharjoshi,5,213,5,218,4
mrsaicharan1,2,6,7,13,1
flohcim,12,151,73,224,3
tiazma,6,150,90,240,1
tlyng,4,424,75,499,3
movermeyer,1,2,2,4,1
dimlev,1,2,2,4,1
pbecotte,1,3,3,6,1
AnneGilles,24,595,213,808,3
deankarlen,3,7,3,10,1
natea,2,27,2,29,1
andymckay,3,34,4,38,1
lucid-0,81,20350,19543,39893,3
bbuehlmann,2,2,2,4,1
vds,11,12025,660,12685,1
peterreimer,1,1,1,2,1
WouterVH,1,4,1,5,1
adaugherity,21,133,73,206,3
weberlar,1,3,7,10,1
domruf,11,228,26,254,3
ableeb,7,294,36,330,2
mbaechtold,2,51,50,101,2
dbitouze,1,212,154,366,1
nk24i,1,3,3,6,1
chrigl,2,89,0,89,1
frispete,2,8,3,11,1
nileshgulia1,161,41682,13573,55255,8
adamtheturtle,1,1,1,2,1
adamcheasley,3,7,4,11,1
avelino,7,15,17,32,2
Petchesi-Iulian,45,5635,444,6079,2
wamdam,13,1216,222,1438,1
RichardBarrell,26,1197,715,1912,2
zotya,8,973,352,1325,3
bubenkoff,12,258,32,290,2
adam139,1,32,13,45,1
RobZoneNet,100,1459,1019,2478,4
blazbratanic,1,86,58,144,1
cydoval,3,21,16,37,2
kkdhanesh,1,94,8,102,1
braytonosg,2,27,3,30,1
athomerson,2,266,3,269,1
lyralemos,3,11,2,13,1
gil-cano,7,79,23,102,3
ionlizarazu,19,3872,334,4206,3
warpr,6,130,22,152,1
bledwell,14,4834,571,5405,1
veritazx,27,177,243,420,1
kamihacker,1,167,0,167,1
matejc,147,7224,2286,9510,2
cleberjsantos,9,99,97,196,3
davismr,1,65,1,66,1
janjaapdriessen,4,71,1238,1309,1
iescude,3,730,686,1416,1
skleinfeldt,17,86,104,190,1
natasy,10,1522,673,2195,1
asthemus,1,1,1,2,1
uwaiszaki,2,40,2,42,1
enkidulan,2,20,1,21,1
gvizdyk,3,126,172,298,1
LeuAlmeida,22,4650,4042,8692,2
klje,13,2687,8872,11559,1
valentinab25,10,238,113,351,2
hkhoshkhoo,8,7,8,15,1
feesh,2,11,5,16,1
cbcunc,17,317,213,530,2
3dogMcNeill,5,48,43,91,3
andreiggr,3,18195,12,18207,2
JeffersonBledsoe,11,399,851,1250,2
MdSahil-oss,19,3832,666,4498,2
arky,6,4887,2887,7774,3
jackahl,102,3793,2527,6320,5
luca-bellenghi,1,146,0,146,1
pranshuchittora,1,2,2,4,1
casdr,1,60,0,60,1
waffle-iron,1,3,0,3,1
valipod,2,4431,0,4431,1
ajayns,57,3498,2237,5735,3
lccruz,2,4,1,5,1
TC5022,1,31,19,50,1
basvanberckel,1,4,4,8,1
steffenri,46,30190,20380,50570,3
jnns,1,6,6,12,1
rfleschenberg,1,4,4,8,1
streaps,1,1,1,2,1
nctl144,1,1,1,2,1
zmijunkie,1,1,1,2,1
allcaps,1,3,3,6,1
ronniestevens,1,2,2,4,1
eivino,1,4,4,8,1
sgrepos,4,5,5,10,2
robinsjm2,2,7,11,18,1
oz123,13,3488,32,3520,2
avimishra18,32,207,164,371,2
robgietema,576,169877,112963,282840,10
iFlameing,160,55757,8703,64460,5
asmagill,1,1,1,2,1
ajorgensen,1,30,0,30,1
rvanmil,1,24,0,24,1
chenglou,1,25,0,25,1
bkbooth,1,43,0,43,1
cjin,1,23,0,23,1
stekycz,1,16,0,16,1
ascorbic,1,41,0,41,1
willnorris,1,19,0,19,1
eka,1,21,0,21,1
svetlyak40wt,1,22,0,22,1
gdepourtales,1,21,0,21,1
cysp,1,9,0,9,1
emoon,1,32,0,32,1
FiloSottile,1,26,0,26,1
deplinenoise,2,32,0,32,1
tylerjereddy,2,53,27,80,1
scarlton,2,78,39,117,1
neoneo,2,21,0,21,1
jasimmk,2,62,12,74,1
andyli,2,18,1,19,1
karlll,2,92,0,92,1
deanand,2,41,0,41,1
drewda,2,29,0,29,1
partlyhuman,2,50,2,52,1
chase,2,84,42,126,1
dylanscott,3,47,4,51,1
jpscharf,3,52,5,57,1
alexlafroscia,3,50,1,51,1
monavari-lebrecht,3,49,15,64,1
tfeldmann,3,39,1,40,1
z0mt3c,4,25,7,32,1
nicholascloud,4,158,78,236,1
saimusdev,4,56,11,67,1
ttvd,6,87,34,121,1
ryanjbonnell,9,179,23,202,1
iamaziz,17,496,21,517,1
Kapeli,139,536,194,730,1
deesto,1,1,1,2,1
daggelpop,1,1,1,2,1
odidev,1,2,2,4,1
stefanfoulis,1,0,2,2,1
rigarash,1,1,1,2,1
tianon,2,6,6,12,1
demarant,3,339,78,417,1
ju55i,4,32,12,44,1
oggers,1,1,1,2,1
l00ptr,2,4,1,5,1
htgoebel,11,85,49,134,1
